r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,1.075963787149531e-05,0.0,0.0,0.0,11.828000999998885
0.001001,9.80290967159297e-13,1.0759637626836984e-05,0.0,9.80290967159297e-13,0.0,11.828000999998885
0.002001,7.830581816430573e-12,1.075963702211781e-05,0.0,7.830581816430573e-12,0.0,11.828000999998885
0.003001,2.6415007930628283e-11,1.0759636018551193e-05,0.0,2.6415007930628283e-11,0.0,11.828000999998885
0.004001,6.259770396318359e-11,1.0759634614441257e-05,0.0,6.259770396318359e-11,0.0,11.828000999998885
0.005001,1.2224280347437428e-10,1.075963280949486e-05,0.0,1.2224280347437428e-10,0.0,11.828000999998885
0.006001,2.112144385670904e-10,1.0759630603629295e-05,0.0,2.112144385670904e-10,0.0,11.828000999998885
0.007001,3.353767395225832e-10,1.075962799681412e-05,0.0,3.353767395225832e-10,0.0,11.828000999998885
0.008001000000000001,5.005938344362119e-10,1.0759624989036086e-05,0.0,5.005938344362119e-10,0.0,11.828000999998885
0.009001000000000002,7.127298488531905e-10,1.0759621580288733e-05,0.0,7.127298488531905e-10,0.0,11.828000999998885
0.010001000000000003,9.776489054043338e-10,1.075961777056866e-05,0.0,9.776489054043338e-10,0.0,11.828000999998885
0.011001000000000004,1.3012151234418042e-09,1.0759613559873989e-05,0.0,1.3012151234418042e-09,0.0,11.828000999998885
0.012001000000000005,1.6892926186748595e-09,1.0759608948203662e-05,0.0,1.6892926186748595e-09,0.0,11.828000999998885
0.013001000000000006,2.1477455028056e-09,1.0759603935557095e-05,0.0,2.1477455028056e-09,0.0,11.828000999998885
0.014001000000000006,2.6824378831647167e-09,1.0759598521933993e-05,0.0,2.6824378831647167e-09,0.0,11.828000999998885
0.015001000000000007,3.2992338623472398e-09,1.0759592707334249e-05,0.0,3.2992338623472398e-09,0.0,11.828000999998885
0.01600100000000001,4.003997537848288e-09,1.075958649175788e-05,0.0,4.003997537848288e-09,0.0,11.828000999998885
0.01700100000000001,4.802593001698819e-09,1.0759579875204999e-05,0.0,4.802593001698819e-09,0.0,11.828000999998885
0.01800100000000001,5.700884340101377e-09,1.0759572857675782e-05,0.0,5.700884340101377e-09,0.0,11.828000999998885
0.01900100000000001,6.704735633065849e-09,1.075956543917046e-05,0.0,6.704735633065849e-09,0.0,11.828000999998885
0.020001000000000012,7.82001095404521e-09,1.0759557619689306e-05,0.0,7.82001095404521e-09,0.0,11.828000999998885
0.021001000000000013,9.052574369571283e-09,1.0759549399232634e-05,0.0,9.052574369571283e-09,0.0,11.828000999998885
0.022001000000000014,1.0408289938890483e-08,1.0759540777800782e-05,0.0,1.0408289938890483e-08,0.0,11.828000999998885
0.023001000000000014,1.1893021713599582e-08,1.0759531755394124e-05,0.0,1.1893021713599582e-08,0.0,11.828000999998885
0.024001000000000015,1.3512633737281456e-08,1.0759522332013056e-05,0.0,1.3512633737281456e-08,0.0,11.828000999998885
0.025001000000000016,1.5272990045140845e-08,1.0759512507658e-05,0.0,1.5272990045140845e-08,0.0,11.828000999998885
0.026001000000000017,1.7179954663640108e-08,1.0759502282329401e-05,0.0,1.7179954663640108e-08,0.0,11.828000999998885
0.027001000000000018,1.9239391610134984e-08,1.0759491656027729e-05,0.0,1.9239391610134984e-08,0.0,11.828000999998885
0.02800100000000002,2.1457164892510352e-08,1.0759480628753471e-05,0.0,2.1457164892510352e-08,0.0,11.828000999998885
