r,m,p_A,p_B,m_A,m_B,R_A
1e-06,0.0,0.0,6.135851006792849e-06,0.0,0.0,1e-06
0.001001,8.796746033823818e-13,0.0,6.135850819996752e-06,0.0,8.796746033823818e-13,1e-06
0.002001,7.026856398101348e-12,0.0,6.13585036199196e-06,0.0,7.026856398101348e-12,1e-06
0.003001,2.3703789345767024e-11,0.0,6.135849602047216e-06,0.0,2.3703789345767024e-11,1e-06
0.004001,5.6172715431902665e-11,0.0,6.135848538818921e-06,0.0,5.6172715431902665e-11,1e-06
0.005001,1.0969587368049128e-10,0.0,6.1358471720749135e-06,0.0,1.0969587368049128e-10,1e-06
0.006001,1.8953549916720688e-10,0.0,6.135845501749791e-06,0.0,1.8953549916720688e-10,1e-06
0.007001,3.009538220325993e-10,0.0,6.135843527819593e-06,0.0,3.009538220325993e-10,1e-06
0.008001000000000001,4.492130664952745e-10,0.0,6.135841250274005e-06,0.0,4.492130664952745e-10,1e-06
0.009001000000000002,6.395754498650743e-10,0.0,6.135838669108124e-06,0.0,6.395754498650743e-10,1e-06
0.010001000000000003,8.773031815562591e-10,0.0,6.135835784319498e-06,0.0,8.773031815562591e-10,1e-06
0.011001000000000004,1.1676584621006924e-09,0.0,6.135832595906911e-06,0.0,1.1676584621006924e-09,1e-06
0.012001000000000005,1.5159034821610293e-09,0.0,6.135829103869824e-06,0.0,1.5159034821610293e-09,1e-06
0.013001000000000006,1.9273004215439073e-09,0.0,6.135825308208102e-06,0.0,1.9273004215439073e-09,1e-06
0.014001000000000006,2.4071114482131422e-09,0.0,6.13582120892187e-06,0.0,2.4071114482131422e-09,1e-06
0.015001000000000007,2.960598717302928e-09,0.0,6.135816806011426e-06,0.0,2.960598717302928e-09,1e-06
0.01600100000000001,3.59302437013104e-09,0.0,6.1358120994772e-06,0.0,3.59302437013104e-09,1e-06
0.01700100000000001,4.309650533212046e-09,0.0,6.135807089319723e-06,0.0,4.309650533212046e-09,1e-06
0.01800100000000001,5.115739317270516e-09,0.0,6.1358017755396065e-06,0.0,5.115739317270516e-09,1e-06
0.01900100000000001,6.01655281625425e-09,0.0,6.135796158137532e-06,0.0,6.01655281625425e-09,1e-06
0.020001000000000012,7.017353106347499e-09,0.0,6.135790237114247e-06,0.0,7.017353106347499e-09,1e-06
0.021001000000000013,8.123402244984195e-09,0.0,6.135784012470552e-06,0.0,8.123402244984195e-09,1e-06
0.022001000000000014,9.339962269861197e-09,0.0,6.135777484207304e-06,0.0,9.339962269861197e-09,1e-06
0.023001000000000014,1.0672295197951535e-08,0.0,6.135770652325413e-06,0.0,1.0672295197951535e-08,1e-06
0.024001000000000015,1.2125663024517659e-08,0.0,6.135763516825834e-06,0.0,1.2125663024517659e-08,1e-06
0.025001000000000016,1.3705327722124707e-08,0.0,6.1357560777095735e-06,0.0,1.3705327722124707e-08,1e-06
0.026001000000000017,1.5416551239653772e-08,0.0,6.135748334977683e-06,0.0,1.5416551239653772e-08,1e-06
0.027001000000000018,1.726459550131518e-08,0.0,6.135740288631262e-06,0.0,1.726459550131518e-08,1e-06
0.02800100000000002,1.9254722405661774e-08,0.0,6.135731938671455e-06,0.0,1.9254722405661774e-08,1e-06
0.02900100000000002,2.1392193824602217e-08,0.0,6.13572328509945e-06,0.0,2.1392193824602217e-08,1e-06
0.03000100000000002,2.3682271602414296e-08,0.0,6.135714327916483e-06,0.0,2.3682271602414296e-08,1e-06
0.03100100000000002,2.613021755475823e-08,0.0,6.135705067123833e-06,0.0,2.613021755475823e-08,1e-06
0.03200100000000002,2.8741293467690006e-08,0.0,6.1356955027228236e-06,0.0,2.8741293467690006e-08,1e-06
0.03300100000000002,3.152076109667471e-08,0.0,6.135685634714823e-06,0.0,3.152076109667471e-08,1e-06
0.034001000000000024,3.447388216559988e-08,0.0,6.1356754631012425e-06,0.0,3.447388216559988e-08,1e-06
0.035001000000000025,3.760591836578886e-08,0.0,6.13566498788354e-06,0.0,3.760591836578886e-08,1e-06
0.036001000000000026,4.092213135501417e-08,0.0,6.135654209063214e-06,0.0,4.092213135501417e-08,1e-06
0.03700100000000003,4.442778275651089e-08,0.0,6.13564312664181e-06,0.0,4.442778275651089e-08,1e-06
0.03800100000000003,4.8128134157990043e-08,0.0,6.1356317406209155e-06,0.0,4.8128134157990043e-08,1e-06
0.03900100000000003,5.2028447110652044e-08,0.0,6.135620051002163e-06,0.0,5.2028447110652044e-08,1e-06
0.04000100000000003,5.613398312820007e-08,0.0,6.135608057787227e-06,0.0,5.613398312820007e-08,1e-06
0.04100100000000003,6.045000368585351e-08,0.0,6.1355957609778284e-06,0.0,6.045000368585351e-08,1e-06
0.04200100000000003,6.498177021936145e-08,0.0,6.135583160575729e-06,0.0,6.498177021936145e-08,1e-06
0.04300100000000003,6.973454412401606e-08,0.0,6.135570256582737e-06,0.0,6.973454412401606e-08,1e-06
0.04400100000000003,7.471358675366617e-08,0.0,6.135557049000703e-06,0.0,7.471358675366617e-08,1e-06
0.045001000000000034,7.992415941973065e-08,0.0,6.135543537831519e-06,0.0,7.992415941973065e-08,1e-06
0.046001000000000035,8.537152339021201e-08,0.0,6.135529723077125e-06,0.0,8.537152339021201e-08,1e-06
0.047001000000000036,9.106093988870988e-08,0.0,6.135515604739502e-06,0.0,9.106093988870988e-08,1e-06
0.04800100000000004,9.699767009343455e-08,0.0,6.135501182820675e-06,0.0,9.699767009343455e-08,1e-06
0.04900100000000004,1.0318697513622052e-07,0.0,6.135486457322712e-06,0.0,1.0318697513622052e-07,1e-06
0.05000100000000004,1.0963411610154011e-07,0.0,6.135471428247727e-06,0.0,1.0963411610154011e-07,1e-06
0.05100100000000004,1.1634435402551699e-07,0.0,6.135456095597874e-06,0.0,1.1634435402551699e-07,1e-06
0.05200100000000004,1.2332294989493983e-07,0.0,6.135440459375353e-06,0.0,1.2332294989493983e-07,1e-06
0.05300100000000004,1.305751646462759e-07,0.0,6.135424519582408e-06,0.0,1.305751646462759e-07,1e-06
0.05400100000000004,1.381062591646847e-07,0.0,6.135408276221326e-06,0.0,1.381062591646847e-07,1e-06
0.05500100000000004,1.4592149428303166e-07,0.0,6.135391729294436e-06,0.0,1.4592149428303166e-07,1e-06
0.056001000000000044,1.5402613078090183e-07,0.0,6.135374878804112e-06,0.0,1.5402613078090183e-07,1e-06
0.057001000000000045,1.624254293836135e-07,0.0,6.135357724752773e-06,0.0,1.624254293836135e-07,1e-06
0.058001000000000046,1.7112465076123194e-07,0.0,6.1353402671428775e-06,0.0,1.7112465076123194e-07,1e-06
0.059001000000000046,1.8012905552758323e-07,0.0,6.135322505976932e-06,0.0,1.8012905552758323e-07,1e-06
